set,x,y,group
Set 50,50.5128,47.3077,1
Set 50,61.5385,56.9231,1
Set 50,75.3846,69.2308,1
Set 50,88.4615,81.5385,1
Set 50,97.9487,91.9231,1
Set 50,44.359,38.8462,1
Set 50,85.1282,87.6923,2
Set 50,71.5385,78.4615,2
Set 50,48.2051,60,2
Set 50,29.2308,46.1538,2
Set 50,16.4103,25.7692,2
Set 50,14.1026,7.3077,2
Set 50,32.8205,21.5385,2
Set 50,48.9744,34.2308,2
Set 50,75.641,52.6923,2
Set 50,91.7949,76.5385,2
Set 50,58.4615,44.6154,2
Set 50,15.1282,34.6154,2
Set 50,35.3846,61.5385,2
Set 50,64.1026,88.4615,2
Set 50,48.4615,78.0769,2
Set 50,22.8205,56.5385,2
Set 50,34.359,10.7692,2
Set 50,53.3333,23.4615,2
Set 50,71.2821,33.0769,2
Set 50,30.7692,71.9231,2
Set 50,37.4359,60,2
Set 50,55.3846,33.0769,2
Set 50,9.2308,20.3846,2
Set 50,79.4872,93.8462,2
Set 50,55.8974,76.1538,2
Set 50,41.2821,67.3077,2
Set 50,42.0513,16.1538,2
Set 50,24.8718,11.9231,2
Set 50,86.1538,66.1538,2
Set 50,86.6667,49.2308,2
Set 50,46.9231,6.9231,2
Set 50,6.1538,46.1538,2
Set 50,55.641,95.3846,2
Set 50,43.3333,86.1538,2
Set 50,38.9744,82.3077,2
Set 50,18.7179,44.2308,2
Set 50,20.2564,72.6923,2
Set 50,13.5897,63.0769,2
Set 50,62.5641,16.1538,2
Set 50,65.1282,25.3846,2
Set 50,58.4615,51.9231,2
Set 50,65.8974,61.9231,2
Set 50,65.8974,66.5385,2
Set 60,8.2051,11.1538,1
Set 60,16.1538,17.6923,1
Set 60,28.2051,28.0769,1
Set 60,36.6667,35.7692,1
Set 60,50.5128,47.3077,1
Set 60,61.5385,56.9231,1
Set 60,75.3846,69.2308,1
Set 60,88.4615,81.5385,1
Set 60,97.9487,91.9231,1
Set 60,44.359,38.8462,1
Set 60,85.1282,87.6923,2
Set 60,71.5385,78.4615,2
Set 60,48.2051,60,2
Set 60,29.2308,46.1538,2
Set 60,16.4103,25.7692,2
Set 60,14.1026,7.3077,2
Set 60,32.8205,21.5385,2
Set 60,48.9744,34.2308,2
Set 60,75.641,52.6923,2
Set 60,91.7949,76.5385,2
Set 60,58.4615,44.6154,2
Set 60,15.1282,34.6154,2
Set 60,35.3846,61.5385,2
Set 60,64.1026,88.4615,2
Set 60,48.4615,78.0769,2
Set 60,22.8205,56.5385,2
Set 60,34.359,10.7692,2
Set 60,53.3333,23.4615,2
Set 60,71.2821,33.0769,2
Set 60,30.7692,71.9231,2
Set 60,37.4359,60,2
Set 60,55.3846,33.0769,2
Set 60,9.2308,20.3846,2
Set 60,79.4872,93.8462,2
Set 60,55.8974,76.1538,2
Set 60,41.2821,67.3077,2
Set 60,42.0513,16.1538,2
Set 60,24.8718,11.9231,2
Set 60,86.1538,66.1538,2
Set 60,86.6667,49.2308,2
Set 60,46.9231,6.9231,2
Set 60,6.1538,46.1538,2
Set 60,55.641,95.3846,2
Set 60,43.3333,86.1538,2
Set 60,38.9744,82.3077,2
Set 70,8.2051,11.1538,1
Set 70,16.1538,17.6923,1
Set 70,28.2051,28.0769,1
Set 70,36.6667,35.7692,1
Set 70,50.5128,47.3077,1
Set 70,61.5385,56.9231,1
Set 70,75.3846,69.2308,1
Set 70,88.4615,81.5385,1
Set 70,97.9487,91.9231,1
Set 70,44.359,38.8462,1
Set 70,85.1282,87.6923,2
Set 70,71.5385,78.4615,2
Set 70,48.2051,60,2
Set 70,29.2308,46.1538,2
Set 70,16.4103,25.7692,2
Set 70,14.1026,7.3077,2
Set 70,32.8205,21.5385,2
Set 70,48.9744,34.2308,2
Set 70,75.641,52.6923,2
Set 70,91.7949,76.5385,2
Set 70,58.4615,44.6154,2
Set 70,15.1282,34.6154,2
Set 70,35.3846,61.5385,2
Set 70,64.1026,88.4615,2
Set 70,48.4615,78.0769,2
Set 70,22.8205,56.5385,2
Set 70,34.359,10.7692,2
Set 70,53.3333,23.4615,2
Set 70,71.2821,33.0769,2
Set 70,30.7692,71.9231,2
Set 70,37.4359,60,2
Set 70,55.3846,33.0769,2
Set 80,8.2051,11.1538,1
Set 80,16.1538,17.6923,1
Set 80,28.2051,28.0769,1
Set 80,36.6667,35.7692,1
Set 80,50.5128,47.3077,1
Set 80,61.5385,56.9231,1
Set 80,75.3846,69.2308,1
Set 80,88.4615,81.5385,1
Set 80,97.9487,91.9231,1
Set 80,44.359,38.8462,1
Set 80,85.1282,87.6923,2
Set 80,71.5385,78.4615,2
Set 80,48.2051,60,2
Set 80,29.2308,46.1538,2
Set 80,16.4103,25.7692,2
Set 80,14.1026,7.3077,2
Set 80,32.8205,21.5385,2
Set 80,48.9744,34.2308,2
Set 80,75.641,52.6923,2
Set 80,91.7949,76.5385,2
Set 80,58.4615,44.6154,2
Set 80,15.1282,34.6154,2
Set 80,35.3846,61.5385,2
Set 80,64.1026,88.4615,2
Set 80,48.4615,78.0769,2
Set 80,22.8205,56.5385,2
Set 80,34.359,10.7692,2
Set 80,53.3333,23.4615,2
Set 90,8.2051,11.1538,1
Set 90,16.1538,17.6923,1
Set 90,28.2051,28.0769,1
Set 90,36.6667,35.7692,1
Set 90,50.5128,47.3077,1
Set 90,61.5385,56.9231,1
Set 90,75.3846,69.2308,1
Set 90,88.4615,81.5385,1
Set 90,97.9487,91.9231,1
Set 90,44.359,38.8462,1
Set 90,85.1282,87.6923,2
Set 90,71.5385,78.4615,2
Set 90,48.2051,60,2
Set 90,29.2308,46.1538,2
Set 90,16.4103,25.7692,2
Set 90,14.1026,7.3077,2
Set 90,32.8205,21.5385,2
Set 90,48.9744,34.2308,2
Set 90,75.641,52.6923,2
Set 90,91.7949,76.5385,2
Set 90,58.4615,44.6154,2
Set 90,15.1282,34.6154,2
Set 90,35.3846,61.5385,2
Set 999,8.2051,11.1538,1
Set 999,16.1538,17.6923,1
Set 999,28.2051,28.0769,1
Set 999,36.6667,35.7692,1
Set 999,50.5128,47.3077,1
Set 999,61.5385,56.9231,1
Set 999,75.3846,69.2308,1
Set 999,88.4615,81.5385,1
Set 999,97.9487,91.9231,1
Set 999,44.359,38.8462,1
